10,0.0002195
20,0.000353
30,0.0004279
40,0.0005147
50,0.0006186
60,0.0007017
70,0.0011376
80,0.0007904
90,0.0009026
100,0.0011733
110,0.0011798
120,0.0012214
130,0.0017701
140,0.0023453
150,0.0022086
160,0.003019
170,0.0032205
180,0.0030997
190,0.0026819
200,0.0039404
210,0.0042669
220,0.0042019
230,0.0038022
240,0.0047274
250,0.0052935
260,0.0053388
270,0.0075002
280,0.0059963
290,0.0065527
300,0.00613
310,0.0068969
320,0.0064536
330,0.0058214
340,0.0091347
350,0.0070378
360,0.0086037
370,0.0092729
380,0.0102626
390,0.0096632
400,0.0096419
410,0.0131379
420,0.0112904
430,0.0106404
440,0.0133941
450,0.011508
460,0.0127747
470,0.0131579
480,0.0125665
490,0.0148942
500,0.016731
